"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
G30210,2023,Full,05/04/2023,,Under Control,Person,4,3,210,Teare Creek,53.2884,-120.0705,1100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30210
G11181,2023,Full,07/07/2023,,Under Control,Lightning,4,1,1181,Ishpah lake,53.6638,-122.1591,1.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11181
V30620,2023,,06/04/2023,06/06/2023,Out,Unknown,2,3,620,Lions Bay,49.4439,-123.2385,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30620
G71435,2023,Full,07/09/2023,,Being Held,Lightning,4,7,1435,3 KM N of Iver Lake,55.3625,-122.14,7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71435
C11243,2023,Full,07/07/2023,,Out of Control,Lightning,7,1,1243,W of 7 Branch Road,53.0419,-123.4067,1350,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11243
N71686,2023,Full,07/14/2023,07/14/2023,Out,Lightning,6,7,1686,Maryland Creek,49.0006,-116.7924,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N71686
R11222,2023,,07/07/2023,,Under Control,Unknown,3,1,1222,2km N of Francois Lake,54.0494,-126.1423,30,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11222
G11297,2023,Full,07/08/2023,,Under Control,Lightning,4,1,1297,Greg Creek FSR,53.6476,-123.3257,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11297
G52126,2023,,07/22/2023,,Out of Control,Lightning,4,5,2126,Teardrop Massvale FSR,54.3795,-123.5213,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G52126
R30140,2023,Full,04/29/2023,05/02/2023,Out,Person,3,3,140,Robin Creek,54.6351,-126.8741,3.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R30140
G11060,2023,Monitor,07/01/2023,07/16/2023,Out,Lightning,4,1,1060,1km NW of TeaPot Mountain,54.3338,-122.6901,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11060
G71676,2023,Full,07/13/2023,07/16/2023,Out,Lightning,4,7,1676,Upper Rocky FSR,55.3148,-121.8058,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71676
G90358,2023,Monitor,05/17/2023,,Out of Control,Person,4,9,358,Tooga Creek,59.1388,-120.3337,41156,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90358
V10500,2023,,05/25/2023,05/25/2023,Out,Person,2,1,500,Apodaca Park,49.3529,-123.3395,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10500
R21623,2023,,07/12/2023,07/15/2023,Out,Lightning,3,2,1623,1 km N of Michelle Bay FSR,54.607,-126.4964,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21623
V80320,2023,Modified,05/15/2023,06/10/2023,Out,Person,2,8,320,3km N of Heydon Bay,50.6117,-125.5651,10,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80320
G11532,2023,Full,07/10/2023,,Out of Control,Lightning,4,1,1532,Reynolds Creek,54.9614,-122.6221,1100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11532
G41493,2023,Modified,07/10/2023,,Fire of Note,Lightning,4,4,1493,Davidson Creek,53.2252,-124.9064,4808.47,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41493
K21627,2023,,07/12/2023,07/19/2023,Out,Lightning,5,2,1627,Bush Creek West,51.0068,-119.8323,0.22,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21627
VA2012,2023,,07/21/2023,07/22/2023,Out,Unknown,2,10,2012,Tallheo Creek,52.3947,-126.8224,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA2012
K42077,2023,,07/21/2023,,Out of Control,Lightning,5,4,2077,Shuswap River,50.5933,-118.8496,6.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42077
C31915,2023,,07/17/2023,,Being Held,Lightning,7,3,1915,SE Dorsey Lake,52.4522,-121.7896,0.09,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31915
G90909,2023,Monitor,06/25/2023,,Out of Control,Lightning,4,9,909,North West of July Lake,59.8137,-120.7329,2363,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90909
C51976,2023,,07/20/2023,,Out of Control,Lightning,7,5,1976,2.8km N of Chilko-Newton Road,52.1245,-123.5046,10.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51976
V11223,2023,,07/07/2023,07/15/2023,Out,Lightning,2,1,1223,Speyum Creek,49.931,-121.5624,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11223
R40057,2023,Full,04/17/2023,06/02/2023,Out,Person,3,4,57,Carnaby Frontage Rd,55.1083,-127.7846,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40057
R11497,2023,Full,07/10/2023,07/15/2023,Out,Lightning,3,1,1497,3.4km E of Maxan Lake,54.2689,-126.0266,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11497
G70366,2023,Full,05/18/2023,05/19/2023,Out,Person,4,7,366,North Of Kiskatinaw River Bridge,55.9598,-120.6104,3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70366
G12080,2023,,07/21/2023,,Out of Control,Lightning,4,1,2080,Spruce Lake,53.6869,-121.6416,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12080
G12071,2023,,07/21/2023,,Out of Control,Person,4,1,2071,James Creek,54.4605,-121.5793,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12071
G70755,2023,Monitor,06/12/2023,07/06/2023,Out,Lightning,4,7,755,Becker Creek,54.5405,-120.686,11.11,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70755
K42099,2023,,07/22/2023,,Being Held,Lightning,5,4,2099,Lossie Creek,50.4782,-118.9282,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42099
